Player_Name,Matches,Runs,Batting_Avg,Strike_Rate,Wickets,Economy
A Ashish Reddy,23,0.03229154653442509,0.17643352236925017,0.4761904761904762,0.08144796380090498,0.06666666666666667
A Badoni,46,0.1110598546880406,0.30340264650283555,0.4337837837837838,0.01809954751131222,0.11428571428571428
A Chandila,2,0.0004613078076346442,0.028985507246376812,0.19047619047619047,0.0497737556561086,0.04700854700854701
A Chopra,6,0.006112328451159036,0.1280193236714976,0.23555555555555557,0.0,0.0
A Choudhary,3,0.0028831737977165262,0.12077294685990339,0.4166666666666667,0.022624434389140274,0.046296296296296294
A Dananjaya,1,0.0004613078076346442,0.057971014492753624,0.26666666666666666,0.0,0.0
A Flintoff,3,0.007150271018336985,0.2995169082125604,0.3625730994152047,0.00904977375565611,0.030303030303030304
A Kamboj,6,0.0018452312305385769,0.03864734299516908,0.35555555555555557,0.04524886877828055,0.050505050505050504
A Kumble,15,0.0040364433168031365,0.03381642512077295,0.2380952380952381,0.20361990950226247,0.04577822990844353
A Manohar,20,0.03367546995732903,0.21159420289855072,0.4005486968449932,0.0,0.0
A Mhatre,7,0.027678468458078653,0.4968944099378882,0.6106870229007634,0.0,0.0
A Mishra,55,0.043939568677199864,0.10039525691699605,0.2886363636363637,0.7873303167420815,0.050522648083623695
A Mithun,6,0.003921116364894475,0.0821256038647343,0.43589743589743596,0.031674208144796386,0.022435897435897433
A Mukund,2,0.00219121208626456,0.13768115942028986,0.2753623188405797,0.0,0.0
A Nehra,17,0.004728405028255103,0.03495311167945439,0.21693121693121692,0.4796380090497738,0.05369807497467072
A Nortje,13,0.005651020643524391,0.054626532887402456,0.32026143790849676,0.27601809954751133,0.05341506129597197
A Raghuvanshi,18,0.053396378733710066,0.37278582930756843,0.4734151329243354,0.0,0.0
A Singh,5,0.0002306539038173221,0.005797101449275362,0.06666666666666667,0.12669683257918554,0.05761316872427983
A Symonds,36,0.11232845115903586,0.392109500805153,0.4157063593683313,0.0904977375565611,0.037037037037037035
A Tomar,1,0.0004613078076346442,0.057971014492753624,0.16666666666666669,0.0,0.0
A Uniyal,2,0.0004613078076346442,0.028985507246376812,0.19047619047619047,0.00904977375565611,0.052631578947368425
A Zampa,5,0.0017299042786299158,0.043478260869565216,0.2,0.14027149321266968,0.06526315789473683
AA Bilakhia,7,0.007957559681697613,0.14285714285714288,0.26136363636363635,0.0,0.0
